County,State,Population,Poverty Rate
St. Francis County, Arkansas,26688,23.842176258992804
Pulaski County, Arkansas,392848,17.069197246772287
Clay County, Arkansas,15190,21.981566820276498
Cross County, Arkansas,17164,17.71731531111629
Dallas County, Arkansas,7585,11.944627554383652
Drew County, Arkansas,18620,22.80343716433942
Columbia County, Arkansas,23992,23.145215071690565
Randolph County, Arkansas,17514,20.30946671234441
Saline County, Arkansas,116252,7.922444345043526
Van Buren County, Arkansas,16751,19.401826756611545
Boone County, Arkansas,37212,15.497688917553477
Izard County, Arkansas,13521,16.552030175282894
Independence County, Arkansas,37097,17.866673855028708
Lincoln County, Arkansas,13885,11.66726683471372
Logan County, Arkansas,21802,19.842216310430235
Grant County, Arkansas,18076,14.267537065722506
Crittenden County, Arkansas,49278,23.178700434270873
Franklin County, Arkansas,17803,21.507611076784812
Faulkner County, Arkansas,121282,15.656898797843043
Pike County, Arkansas,10893,17.00174423941981
Jefferson County, Arkansas,71373,22.613593375646253
Marion County, Arkansas,16374,19.32942469769146
Montgomery County, Arkansas,9059,17.80549729550723
Scott County, Arkansas,10584,20.238095238095237
Searcy County, Arkansas,7925,17.21135646687697
Sebastian County, Arkansas,127362,22.150248896845213
Crawford County, Arkansas,62119,16.413657657077543
Benton County, Arkansas,251823,10.362834212919392
Chicot County, Arkansas,11008,27.625363372093023
Hot Spring County, Arkansas,33480,14.758064516129032
Johnson County, Arkansas,26155,21.9193270885108
Lee County, Arkansas,9614,22.6024547534845
Madison County, Arkansas,15907,17.583453825359904
Desha County, Arkansas,12094,32.13163552174632
Fulton County, Arkansas,12092,22.477671187562024
Howard County, Arkansas,13472,20.709619952494062
Garland County, Arkansas,97994,18.67461273139172
Mississippi County, Arkansas,43534,25.08613956907245
Pope County, Arkansas,63372,18.68490816133308
Prairie County, Arkansas,8309,16.415934528824167
Union County, Arkansas,40022,19.829093998300934
Woodruff County, Arkansas,6763,25.447286707082657
Cleburne County, Arkansas,25361,15.097985095224951
Cleveland County, Arkansas,8332,19.071051368218914
Jackson County, Arkansas,17429,20.609329278788227
Hempstead County, Arkansas,22154,25.002256928771327
Sharp County, Arkansas,17041,22.90945367055924
Stone County, Arkansas,12443,23.97331833159206
Washington County, Arkansas,223683,17.37056459364368
Greene County, Arkansas,44197,15.564404823856822
Baxter County, Arkansas,41093,12.452242474387365
Ashley County, Arkansas,20771,21.02931972461605
Craighead County, Arkansas,104246,17.5527118546515
Lafayette County, Arkansas,7051,23.145653098851227
Perry County, Arkansas,10320,17.51937984496124
Yell County, Arkansas,21601,17.554742835979816
Phillips County, Arkansas,19518,32.600676298801105
Poinsett County, Arkansas,24098,20.89799983401112
Sevier County, Arkansas,17206,20.905498082064398
Calhoun County, Arkansas,5194,18.983442433577203
Clark County, Arkansas,22495,18.76416981551456
Bradley County, Arkansas,10994,26.05057303983991
Lawrence County, Arkansas,16777,17.73857066221613
Monroe County, Arkansas,7420,28.274932614555254
Polk County, Arkansas,20212,26.35068276271522
Conway County, Arkansas,20954,18.349718430848526
Ouachita County, Arkansas,24378,25.559931085404873
Newton County, Arkansas,7898,17.62471511775133
Arkansas County, Arkansas,18352,20.352005231037488
Little River County, Arkansas,12494,18.336801664799104
Lonoke County, Arkansas,71568,12.168846411804159
Carroll County, Arkansas,27782,15.58923043697358
Miller County, Arkansas,43760,20.31764168190128
Modoc County, California,9017,17.566818232228012
Merced County, California,267390,22.76113542017278
Lake County, California,64095,22.4635306966222
Mariposa County, California,17658,14.88843583644807
Yuba County, California,74644,18.217137345265527
Contra Costa County, California,1123678,9.667360222412471
Inyo County, California,18195,9.925803792250619
Lassen County, California,31470,10.025421035907213
Stanislaus County, California,535684,17.026829250080272
Santa Barbara County, California,442996,14.784106402766616
Sonoma County, California,500943,10.521556344733831
Tehama County, California,63247,20.56856451689408
Imperial County, California,179957,22.436470934723296
Mono County, California,14058,9.802247830416844
San Benito County, California,58671,9.66405890473999
Alameda County, California,1629615,11.11882254397511
Sacramento County, California,1495400,16.464023003878562
El Dorado County, California,185015,9.726778909818123
Napa County, California,141005,8.003262295663275
San Diego County, California,3283665,13.004706631157564
Monterey County, California,433168,14.066828574594615
San Francisco County, California,864263,11.465954229210322
Sierra County, California,2885,12.166377816291162
Tulare County, California,458809,26.748385493745765
Yolo County, California,212605,18.666541238446886
Humboldt County, California,135490,20.282677688390287
Nevada County, California,98838,12.000445172909204
Alpine County, California,1203,19.534497090606816
Madera County, California,154440,20.87801087801088
Mendocino County, California,87497,18.798358800873174
Santa Cruz County, California,273263,14.12741571306763
Trinity County, California,13037,19.521362276597376
Los Angeles County, California,10105722,16.708405396467466
Riverside County, California,2355002,15.380666343383147
San Bernardino County, California,2121220,17.669548655962135
Santa Clara County, California,1911226,8.503703905241975
Marin County, California,260814,7.865758739944941
Placer County, California,374985,8.126458391669
Siskiyou County, California,43530,20.480128646910178
Shasta County, California,178919,17.866744169149168
Solano County, California,434981,11.178189392180348
Del Norte County, California,27442,20.30099846949931
Colusa County, California,21479,13.869360770985613
Glenn County, California,27935,19.344907821729013
Butte County, California,225207,19.97140408601864
Kings County, California,150183,18.652577189162557
Plumas County, California,18724,13.0260628070925
San Luis Obispo County, California,280119,13.001617169845673
Fresno County, California,971616,25.0139972993446
Kern County, California,878744,21.74956528863924
Orange County, California,3155816,11.992429216405519
Ventura County, California,847834,10.121792709421891
