Date,RegionID,RegionName,State,Metro,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
1/31/2019,3185,Saint Helena Parish,LA,Baton Rouge,1723,104600,0.020487805,0.081695967,0.275609756,0.101525091,0.020845955,2019-01,2019-Q1,104600,0,2019-01
1/31/2019,506,Essex County,VA,,1724,179600,0.0039128,0.008422235,0.039351852,0.027655302,-0.005456233,2008-01,2008-Q1,203700,-0.118311242,2005-08
1/31/2019,784,Walsh County,ND,,1725,84500,-0.002361275,-0.007050529,0.036809816,0.032822199,0.035006289,2018-10,2018-Q4,85100,-0.007050529,2018-09
1/31/2019,849,Barnes County,ND,,1726,133000,0.006051437,0.005291005,0.003773585,0.033862184,0.045664124,2017-06,2017-Q2,133200,-0.001501502,2017-04
1/31/2019,2549,Skamania County,WA,Portland-Vancouver-Hillsboro,1727,333900,-0.000299401,-0.008610451,0.080932341,0.096349852,0.02940202,2018-10,2018-Q4,336800,-0.008610451,2018-09
1/31/2019,2147,Boundary County,ID,,1728,260400,0.00076864,0.006960557,0.166144201,0.104389688,0.041559877,2019-01,2019-Q1,260400,0,2019-01
1/31/2019,2803,Middlesex County,VA,,1729,240900,0.00375,0.013036165,0.053805774,0.027053906,-0.007486357,2005-11,2005-Q4,303600,-0.206521739,
1/31/2019,2977,Montgomery County,MS,,1730,71600,0.001398601,0.004207574,-0.015130674,0.030543817,,2017-11,2017-Q4,75400,-0.050397878,2016-09
1/31/2019,693,Rains County,TX,,1731,120700,0.002491694,0.015138772,0.072888889,0.07064131,0.05099614,2019-01,2019-Q1,120700,0,2019-01
1/31/2019,1294,Oregon County,MO,,1732,70100,0.017416546,0.076804916,0.090202177,0.057919127,,2019-01,2019-Q1,70100,0,2019-01
1/31/2019,223,Lake County,MN,,1733,180800,0.005561735,0.029612756,0.069822485,0.070013117,0.036278462,2019-01,2019-Q1,180800,0,2019-01
1/31/2019,265,Owen County,KY,,1734,125500,-0.000796178,-0.003968254,0.089409722,0.064535647,0.017897625,2018-08,2018-Q3,126800,-0.010252366,2018-07
1/31/2019,132,Clay County,TX,Wichita Falls,1735,104700,-0.010396975,-0.018744142,0.078269825,0.049323428,0.028695803,2018-11,2018-Q4,106900,-0.020579981,2018-10
1/31/2019,2970,Montgomery County,IA,,1736,74800,-0.001335113,-0.005319149,0.034578147,0.019244876,0.014768337,2018-11,2018-Q4,75200,-0.005319149,2018-08
1/31/2019,2230,Crawford County,IN,,1737,90600,0.015695067,0.044982699,0.249655172,0.061262031,0.022678117,2019-01,2019-Q1,90600,0,2019-01
1/31/2019,326,Ward County,TX,,1738,104200,0.007736944,0.019569472,0.087682672,0.125872074,0.07992118,2019-01,2019-Q1,104200,0,2019-01
1/31/2019,3144,Switzerland County,IN,,1739,91400,0.003293085,-0.002183406,0.055427252,0.022942464,,2018-10,2018-Q4,91600,-0.002183406,2018-10
1/31/2019,2291,Franklin County,TX,,1740,157200,0.009633911,0.032173342,0.072305593,0.053391924,0.036726498,2019-01,2019-Q1,157200,0,2019-01
1/31/2019,1597,Carroll County,MS,Greenwood,1741,105900,0.00094518,0.001892148,-0.006566604,0.028764785,,2017-11,2017-Q4,108500,-0.023963134,2016-10
1/31/2019,128,Clay County,NC,,1742,165600,0.002421308,0.009756098,0.123473541,0.053683137,-0.00713903,2008-05,2008-Q2,181900,-0.089609676,2006-12
1/31/2019,1174,Marion County,TX,,1743,111800,0.007207207,0.005395683,0.047797563,0.045967207,0.0222684,2019-01,2019-Q1,111800,0,2019-01
1/31/2019,882,Blanco County,TX,,1744,320500,0.007228158,0.037888601,0.057755776,0.080324018,0.042540304,2019-01,2019-Q1,320500,0,2019-01
1/31/2019,752,Towns County,GA,,1745,210700,0.010067114,0.061460957,0.10487677,0.05229055,0.005376309,2007-05,2007-Q2,213700,-0.014038372,2007-03
1/31/2019,79,Lee County,AR,,1746,44600,-0.013274336,-0.004464286,0.311764706,0.033638344,0.038731978,2018-12,2018-Q4,45200,-0.013274336,2018-10
1/31/2019,2647,Catahoula Parish,LA,,1747,79200,0.002531646,0.008917197,0.110799439,0.059938568,,2019-01,2019-Q1,79200,0,2019-01
1/31/2019,1177,Martin County,IN,,1748,85600,0.013017751,0.054187192,0.09603073,0.065949612,,2019-01,2019-Q1,85600,0,2019-01
1/31/2019,1309,Parmer County,TX,,1749,91800,0.002183406,-0.008639309,0,0.043488711,0.033702881,2018-10,2018-Q4,92600,-0.008639309,2018-09
1/31/2019,2081,Webster County,MS,,1750,89800,0.003351955,0.002232143,-0.013186813,0.030698887,,2017-11,2017-Q4,93800,-0.042643923,2016-12
1/31/2019,196,Juab County,UT,Provo-Orem,1751,210300,0.011057692,0.033415233,0.17289459,0.070487341,0.030781895,2019-01,2019-Q1,210300,0,2019-01
1/31/2019,2817,Ochiltree County,TX,,1752,108400,-0.003676471,-0.003676471,0.010251631,0.057151487,,2018-03,2018-Q1,109400,-0.009140768,2018-02
1/31/2019,1257,Nemaha County,KS,,1753,97000,0.007268951,0.021052632,0.022128556,0.037994783,,2019-01,2019-Q1,97000,0,2019-01
1/31/2019,2813,Nantucket County,MA,,1754,1685700,0.006628449,0.031829589,0.118728431,0.083030033,0.037228145,2019-01,2019-Q1,1685700,0,2019-01
1/31/2019,743,Teton County,ID,Jackson,1755,384300,0.012648221,0.037246964,0.169506999,0.110256522,0.030236331,2019-01,2019-Q1,384300,0,2019-01
1/31/2019,694,Ralls County,MO,Hannibal,1756,135100,0.011227545,0.081665332,0.155688623,0.058858339,,2019-01,2019-Q1,135100,0,2019-01
1/31/2019,1102,Howard County,MO,,1757,128900,0.009397024,0.010188088,0.057424118,0.051874115,,2018-07,2018-Q3,133100,-0.031555222,2018-05
1/31/2019,2409,Marshall County,KS,,1758,72700,0.002758621,0.005532503,0,0.027106456,,2019-01,2019-Q1,72700,0,2019-01
1/31/2019,303,Rice County,KS,,1759,55700,0.003603604,0.031481481,0.041121495,0.015016099,,2011-01,2011-Q1,62000,-0.101612903,
1/31/2019,914,Carbon County,MT,Billings,1760,208500,0.00433526,0.023061825,0.020058708,0.044141496,,2019-01,2019-Q1,208500,0,2019-01
1/31/2019,404,Brown County,KS,,1761,74400,0,0.004048583,0.042016807,0.036136512,0.010531401,2007-03,2007-Q1,78300,-0.049808429,2005-07
1/31/2019,1454,Valley County,ID,,1762,331500,0.006680838,0.024412855,0.137611531,0.073248058,0.016954542,2019-01,2019-Q1,331500,0,2019-01
1/31/2019,3124,Saint Clair County,MO,,1763,118500,0.008510638,0.023316062,0.046819788,0.066461145,0.030439228,2019-01,2019-Q1,118500,0,2019-01
1/31/2019,3106,Montmorency County,MI,,1764,76500,-0.007782101,-0.046134663,0.014588859,0.055841131,,2018-10,2018-Q4,80200,-0.046134663,2018-02
1/31/2019,2504,Richland County,MT,,1765,219600,0.000911577,-0.002271695,0.001367989,0.008884051,,2017-06,2017-Q2,225600,-0.026595745,2016-09
1/31/2019,690,Pratt County,KS,,1766,75000,0.004016064,0.024590164,0.013513514,0.016816148,,2017-07,2017-Q3,76600,-0.020887728,2017-03
1/31/2019,236,Linn County,KS,Kansas City,1767,77700,0.007782101,0.034620506,0.111587983,0.020218369,0.00168868,2003-10,2003-Q4,91100,-0.147091109,2001-08
1/31/2019,2559,Stephens County,TX,,1768,85000,-0.004683841,-0.008168028,0.127320955,0.063767866,0.040769141,2018-11,2018-Q4,85800,-0.009324009,2018-10
1/31/2019,1238,Morgan County,UT,Ogden-Clearfield,1769,432700,0.003711436,0.014774859,0.151716795,0.099813936,0.021876499,2019-01,2019-Q1,432700,0,2019-01
1/31/2019,2162,Caldwell County,MO,Kansas City,1770,123300,0,0.057461407,0.296529968,0.113901624,0.03430361,2019-01,2019-Q1,123300,0,2019-01
1/31/2019,2439,Mitchell County,TX,,1771,71100,0.002820874,0.017167382,0.045588235,0.05539238,0.032376014,2019-01,2019-Q1,71100,0,2019-01
1/31/2019,2919,Deer Lodge County,MT,,1772,123900,0.009779951,0.018914474,0.04822335,0.054555741,0.017077302,2003-04,2003-Q2,129300,-0.041763341,2002-11
1/31/2019,1596,Carroll County,MO,,1773,70000,-0.007092199,0.037037037,0.059001513,0.04415215,,2018-12,2018-Q4,70500,-0.007092199,2018-12
